Market Year,Production (1000 MT)
1960,3909
1961,3814
1962,4027
1963,4170
1964,4162
1965,4591
1966,3916
1967,4334
1968,6418
1969,6618
1970,7294
1971,6476
1972,6890
1973,7800
1974,7800
1975,7674
1976,8690
1977,9143
1978,8367
1979,9950
1980,10857
1981,11473
1982,11304
1983,12414
1984,10882
1985,11703
1986,13922
1987,12020
1988,12675
1989,14419
1990,14429
1991,14565
1992,15684
1993,16157
1994,15212
1995,17002
1996,16907
1997,16651
1998,18694
1999,17858
2000,21079
2001,19024
2002,18227
2003,19183
2004,19500
2005,21612
2006,21277
2007,23295
2008,20959
2009,24033
2010,23311
2011,25214
2012,23473
2013,24211
2014,25979
2015,25086
2016,25633
2017,26674
2018,25076
2019,24349
2020,25248
2021,27464
2022,26209
2023,28161
2024,31583
