Year,Production (1000 MT),Area Harvested (1000 HA),Yield_ton_per_HA
1960,3909,4878,0.8013530135301353
1961,3814,4639,0.8221599482647122
1962,4027,4923,0.8179971562055657
1963,4170,5022,0.8303464755077659
1964,4162,5019,0.8292488543534569
1965,4591,5318,0.8632944716058669
1966,3916,5155,0.759650824442289
1967,4334,5344,0.8110029940119761
1968,6418,5983,1.0727060003342805
1969,6618,6160,1.0743506493506494
1970,7294,6229,1.1709744742334243
1971,6476,5978,1.0833054533288726
1972,6890,5799,1.1881358854974995
1973,7800,5973,1.3058764439979909
1974,7800,6113,1.2759692458694585
1975,7674,5813,1.3201445036986066
1976,8690,6111,1.4220258550155458
1977,9143,6390,1.430829420970266
1978,8367,6360,1.3155660377358491
1979,9950,6687,1.4879617167638701
1980,10857,6924,1.5680242634315424
1981,11473,6982,1.6432254368375823
1982,11304,7223,1.565000692233144
1983,12414,7398,1.6780210867802108
1984,10882,7326,1.4853944853944854
1985,11703,7403,1.5808456031338647
1986,13922,7363,1.8908053782425642
1987,12020,7706,1.5598235141448222
1988,12675,7308,1.7344006568144499
1989,14419,7730,1.8653298835705046
1990,14429,7845,1.8392606755895475
1991,14565,7911,1.8411073189230185
1992,15684,7878,1.9908606245239908
1993,16157,8300,1.9466265060240964
1994,15212,8034,1.8934528254916605
1995,17002,8170,2.081028151774786
1996,16907,8377,2.018264295093709
1997,16651,8109,2.0533974596127758
1998,18694,8355,2.2374625972471573
1999,17858,8230,2.1698663426488456
2000,21079,8463,2.490724329434007
2001,19024,8181,2.325388094364992
2002,18227,8058,2.2619756763464878
2003,19183,8034,2.3877271595718197
2004,19500,8216,2.3734177215189876
2005,21612,8358,2.585786073223259
2006,21277,8448,2.5185842803030303
2007,23295,8578,2.7156679878759618
2008,20959,8550,2.451345029239766
2009,24033,9046,2.65675436657086
2010,23311,9132,2.552671922908454
2011,25214,8901,2.8327154252331197
2012,23473,8650,2.71364161849711
2013,24211,8660,2.7957274826789837
2014,25979,9199,2.82411131644744
2015,25086,9204,2.7255541069100393
2016,25633,9224,2.7789462272333045
2017,26674,8972,2.9730271957200176
2018,25076,8797,2.8505172217801524
2019,24349,8678,2.8058308365982945
2020,25248,8805,2.8674616695059627
2021,27464,9168,2.9956369982547995
2022,26209,8977,2.919572240169322
2023,28161,9033,3.117568913982066
2024,31583,9734,3.244606533799055
